,AUTORID,IDPARIDADE,TIPOPRODUCAO,NOMECOMPLETODOSAUTORES,NOMEPARACITACAO,ORDEMIDCNPQ,ORDEMDEAUTORIA,NOMEGRANDEAREADOCONHECIMENTO1,NOMEDAAREADOCONHECIMENTO1,NOMEDASUBAREADOCONHECIMENTO1,NOMEDAESPECIALIDADE1,NOMEGRANDEAREADOCONHECIMENTO2,NOMEDAAREADOCONHECIMENTO2,NOMEDASUBAREADOCONHECIMENTO2,NOMEDAESPECIALIDADE2,NOMEGRANDEAREADOCONHECIMENTO3,NOMEDAAREADOCONHECIMENTO3,NOMEDASUBAREADOCONHECIMENTO3,NOMEDAESPECIALIDADE3,TIPO,TITULODOCAPITULODOLIVRO,ANO,PAISDEPUBLICACAO,IDIOMA,MEIODEDIVULGACAO,HOMEPAGEDOTRABALHO,FLAGRELEVANCIA,DOI,TITULODOCAPITULODOLIVROINGLES,FLAGDIVULGACAOCIENTIFICA,TITULODOLIVRO,NUMERODEVOLUMES,PAGINAINICIAL,PAGINAFINAL,ISBN,ORGANIZADORES,NUMERODAEDICAOREVISAO,NUMERODASERIE,CIDADEDAEDITORA,NOMEDAEDITORA,PALAVRACHAVE1,PALAVRACHAVE2,PALAVRACHAVE3,PALAVRACHAVE4,PALAVRACHAVE5,PALAVRACHAVE6,SETORDEATIVIDADE1,SETORDEATIVIDADE2,SETORDEATIVIDADE3,ID
0,69610758755218,11,CAPITULO-DE-LIVRO-PUBLICADO,Aline Azevedo Costa|,"AZEVEDO, Aline.|",0069610758755218|,1|,,,,,,,,,,,,,Capítulo de livro publicado,"Herança das Musas: música, memória e esquecimento",2016,Brasil,Bretão,VARIOS,http://150.164.100.248/vivavoz/data1/arquivos/SobreImagens_v2_site.pdf,NAO,,,NAO,"Sobre imagens, memórias e esquecimentos",2,125,139.0,9788577582730,Elisa Maria Amorim Vieira,1,,Belo Horizonte/MG,Viva Voz,2018-08-02T21:03:31.776Z,,,,,,,,,1
1,70090312079084,12,CAPITULO-DE-LIVRO-PUBLICADO,Raimundo Expedito dos Santos Sousa|,"SOUSA, Raimundo;SOUSA, RAIMUNDO EXPEDITO DOS SANTOS;Sousa, Raimundo Expedito dos Santos;SOUSA, RAIMUNDO|",0070090312079084|,1|,LINGUISTICA_LETRAS_E_ARTES,,Teoria Literária,,LINGUISTICA_LETRAS_E_ARTES,Letras,Estudos pós-coloniais,,LINGUISTICA_LETRAS_E_ARTES,Letras,Estudos de gênero,,Capítulo de livro publicado,Corpocartografias: a antropomorfização no regime de espacialidade (anti)colonial,2016,Brasil,Português,VARIOS,,SIM,,,NAO,Transespaços (versão impressa),01,29,50.0,9788577582808,Luis Alberto Brandão,01,,Belo Horizonte,Viva Voz,2018-08-02T21:03:31.777Z,,,,,,,,,2
2,70090312079084,13,CAPITULO-DE-LIVRO-PUBLICADO,Raimundo Expedito dos Santos Sousa|,"SOUSA, Raimundo;SOUSA, RAIMUNDO EXPEDITO DOS SANTOS;Sousa, Raimundo Expedito dos Santos;SOUSA, RAIMUNDO|",0070090312079084|,1|,LINGUISTICA_LETRAS_E_ARTES,,Estudos Culturais,,LINGUISTICA_LETRAS_E_ARTES,Letras,Estudos de gênero,,LINGUISTICA_LETRAS_E_ARTES,Letras,Memória,,Capítulo de livro publicado,O guarda-roupa de Margaret Skinnider: autoginografia e performatividade,2016,Brasil,Português,MEIO_DIGITAL,,NAO,,,NAO,Sobre as mulheres e seus escritos: perspectivas femininas e feministas,01,102,130.0,9788559270242,Kelio Junior Santana Borges; Cristiane Palma dos Santos Bourguignon,01,1.0,Cabo Frio,Mares Editores,2018-08-02T21:03:31.778Z,,,,,,,,,3
3,70090312079084,14,CAPITULO-DE-LIVRO-PUBLICADO,Raimundo Expedito dos Santos Sousa|,"SOUSA, Raimundo|",|,1|,LINGUISTICA_LETRAS_E_ARTES,,Estudos Culturais,,LINGUISTICA_LETRAS_E_ARTES,Letras,Estudos pós-coloniais,,LINGUISTICA_LETRAS_E_ARTES,Letras,Estudos de gênero,,Capítulo de livro publicado,Corpocartografias: a antropomorfização no regime de espacialidade (anti)colonial,2016,Brasil,Português,MEIO_DIGITAL,http://150.164.100.248/vivavoz/data1/arquivos/Transespacos_site.pdf,NAO,,,NAO,Transespaços (versão digital),01,29,50.0,9788577582815,Luis Alberto Brandão,01,1.0,Belo Horizonte,Viva Voz,2018-08-02T21:03:31.778Z,,,,,,,,,4
4,86982782870395,3179,CAPITULO-DE-LIVRO-PUBLICADO,Grenissa Bonvino Stafuzza| Luciane de Paula|,"STAFUZZA, Grenissa Bonvino| PAULA, Luciane de|",| 9546185363173636|,1| 2|,CIENCIAS_HUMANAS,,Filosofia da Linguagem,,LINGUISTICA_LETRAS_E_ARTES,Lingüística,Semiótica,,,,,,Capítulo de livro publicado,Signos e vida nos escritos do Círculo de Bakhtin e de Lady Welby,2016,Brasil,Português,IMPRESSO,https://www.editoracrv.com.br/index.php?f=produto_detalhes&amp;pid=31787,NAO,,,NAO,Análise do discurso: afinidades epistêmicas franco-brasileiras (Coleção Ciência Aberta no. 12),12,141,168.0,9788544410424,Ida Lucia Machado; João Bôsco Cabral dos Santos; Sérgio Nunes de Jesus,1,,Curitiba-PR,Editora CRV,2018-08-02T21:07:51.815Z,,,,,,,,,5
5,86982782870395,3180,CAPITULO-DE-LIVRO-PUBLICADO,Grenissa Bonvino Stafuzza| Bruno Oliveira|,"STAFUZZA, Grenissa Bonvino| OLIVEIRA, Bruno|",| |,1| 2|,CIENCIAS_HUMANAS,,Filosofia da Linguagem,,,,,,,,,,Capítulo de livro publicado,Narrativa de vida na produção artística de Emicida: a voz marginal em análise,2016,Brasil,Português,MEIO_DIGITAL,http://www.letras.ufmg.br/nucleos/nad/,NAO,,,NAO,Estudos sobre narrativas em diferentes materialidades discursivas na visão da Análise do Discurso,,89,120.0,9788577582969,"Ida Lucia Machado, Mônica Santos de Souza Melo",1,,Belo Horizonte,Núcleo de Análise do Discurso: FALE-UFMG,2018-08-02T21:07:51.816Z,,,,,,,,,6
6,91340259665936,1034,CAPITULO-DE-LIVRO-PUBLICADO,Andrea Neiva da Silva| Lívia Guimarães Zina| Marcos Alex Mendes da Silva| Marcos Azeredo Furquim Werneck| MAURO H. N. G. ABREU| Paulo Sávio Angeiras de Goes| Petrônio Martelli|,"SILVA, A. N.| ZINA, Lívia Guimarães| SILVA, M. A. M.| WERNECK, M. A. F.| ABREU, MAURO H. N. G.| GOES, P. S. A.| MARTELLI, P.|",1612255892300844| | 5970082864547230| 0708159661009572| 0431050314405943| 0012675796289882| 6257987995944855|,1| 2| 3| 4| 5| 6| 7|,CIENCIAS_DA_SAUDE,,Odontologia Social e Preventiva,,CIENCIAS_DA_SAUDE,Saúde Coletiva,Saúde Pública,,,,,,Capítulo de livro publicado,A importância das ações de gestão na organização do trabalho nos CEO,2016,Brasil,Português,MEIO_DIGITAL,,NAO,,,NAO,Os caminhos da saúde bucal no Brasil: um olhar quali e quanti sobre os Centros de Especialidades Odontológicas (CEO) no Brasil,1,43,54.0,9788541508438,Nilcema Figueiredo; Paulo Sávio Angeiras de Goes; Petrônio Martelli,1,1.0,Recife (PE),Editora UFPE,,,,,,,,,,7
7,92226104911153,3181,CAPITULO-DE-LIVRO-PUBLICADO,"Bruno Pereira dos Santos| Lucas A. M. Silva| Clayson S. F. S. Celes| João B. Borges Neto| Bruna S. Peres| Marcos A. M. Vieira| VIEIRA, LUIZ F.M.| Olga N. Goussevskaia| Antonio A. F. Loureiro|","SANTOS, BRUNO P.| SILVA, L. A. M.| CELES, C. S. F. S.| BORGES NETO, J. B.| PERES, B. S.| VIEIRA, M. A. M.| VIEIRA, LUIZ F.M.| GOUSSEVSKAIA, O. N.| LOUREIRO, A. A. F.|",| | | | | 8886634592087842| | | |,1| 2| 3| 4| 5| 6| 7| 8| 9|,,,,,,,,,,,,,Capítulo de livro publicado,Internet das Coisas: da Teoria à Prática,2016,Brasil,Português,VARIOS,https://bps90.github.io/papers/Internet-das-coisas-da-teroria-a-pratica/,NAO,,,SIM,Livro de Minicursos SBRC 2016,XXXIV,1,50.0,9783161484100,Frank Augusto Siqueira; Lau Cheuk Lung; Fabíola Gonçalves Pereira Greve; Allan Edgard Silva Freitas,34,,Porto Alegre RS,Sociedade Brasileira de Computação (SBC),2018-08-02T21:07:51.817Z,,,,,,,,,8
8,102378168820578,3182,CAPITULO-DE-LIVRO-PUBLICADO,Stêfany Bruno de Assis Cau| Paulo Roberto B. Évora| Rita de Cássia Tostes|,"CAU, S.B.| EVORA, P. R. B.| TOSTES, R. C.|",| | |,1| 2| 3|,,,,,,,,,,,,,Capítulo de livro publicado,Substâncias vasoconstritoras produzidas pelo endotélio,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,Endotélio e doenças cardiovasculares: biologia vascular e síndromes clínicas,,127,,9788538807339,Protásio L. da Luz; Peter Libby; Antônio C. P. Chagas; Francisco R. M. Laurindo,1,,"São Paulo, Rio Jan, Belo Horiz",Atheneu,2018-08-02T21:07:51.818Z,,,,,,,,,9
9,108895429411114,3183,CAPITULO-DE-LIVRO-PUBLICADO,Danielle de Souza Costa| Gabrielle Chequer de Castro Paiva| Jonas Jardim de Paula| Débora Marques de Miranda| Leandro Fernandes Malloy-Diniz|,"COSTA, D. S.| Paiva, GCC| de Paula, JJ| Miranda, DM| Malloy-Diniz, LF|",| | 0108895429411114| 0108895429411114| 0108895429411114|,1| 2| 3| 4| 5|,,,,,,,,,,,,,Capítulo de livro publicado,Transtorno de Déficit de Atenção/Hiperatividade: Características Neuropsicológicas,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,Neuropsicopedagogia e Aprendizagem,,67,80.0,9788578543716,Roberte Metring; Simaia Sampaio,1,,,,2018-08-02T21:07:51.818Z,,,,,,,,,10
10,109457303275046,1039,CAPITULO-DE-LIVRO-PUBLICADO,Rita Lages Rodrigues| Luiz Henrique Assis Garcia|,"RODRIGUES, Rita Lages| GARCIA, L. H. A.|",0109457303275046| |,1| 2|,,,,,,,,,,,,,Capítulo de livro publicado,"O tempo, a carne e a pedra: reflexões sobre o patrimônio em Belo Horizonte",2016,Brasil,Português,MEIO_DIGITAL,,NAO,,,NAO,Cidade e cultura. Rebatimentos no espaço público.,,149,174.0,9788551300381,"SILVA, Regina Helena Alves da; ZIVIANI, Paula.",1,,Belo Horizonte,Autêntica Editora,,,,,,,,,,11
11,109798817130552,907,CAPITULO-DE-LIVRO-PUBLICADO,"Daniel Moreira dos Santos| Reis, Pablo. V.| Pimenta, Adriano M. C.|","Santos, Daniel M.| Reis, Pablo. V.| Pimenta, Adriano M. C.|",| | |,1| 2| 3|,,,,,,,,,,,,,Capítulo de livro publicado,Antimicrobial Peptides in Spider Venoms,2016,Brasil,Português,MEIO_DIGITAL,http://link.springer.com/10.1007/978-94-007-6389-0_19,NAO,10.1007/978-94-007-6389-0_19,,NAO,Spider Venoms,,361,377.0,9789400763883,,1,,,Springer Netherlands,,,,,,,,,,12
12,117568108401468,3184,CAPITULO-DE-LIVRO-PUBLICADO,Ricardo Miranda Nachmanowicz| Iraquitan de Oliveira Caminha| Galileu Galilei Medeiros de Souza|,"NACHMANOWICZ, R. M.| CAMINHA, Iraquitan de Oliveira| SOUZA, G. G. M|",0117568108401468| | |,1| 2| 3|,,,,,,,,,,,,,Capítulo de livro publicado,O óbice da percepção,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,"Ser, pensar e dizer: Ensaios sobre percepção",,1,266.0,9788576211396,Iraquitan de Oliveira Caminha; Galileu Galilei Medeiros de Souza,1,,Rio de Janeiro,Letra Capital Editora,2018-08-02T21:07:51.819Z,,,,,,,,,13
13,124615197214674,15,CAPITULO-DE-LIVRO-PUBLICADO,Zulma Viviana Lenarduzzi|,"LENARDUZZI, Z. V.|",0124615197214674|,1|,CIENCIAS_HUMANAS,,INVESTIGACIÓN EDUCATIVA,,,,,,,,,,Capítulo de livro publicado,Notas sobre los aportes epistemológicos de los estudios feministas y los estudios decoloniales,2016,México,Espanhol,IMPRESSO,,NAO,,,NAO,La investigación en educación: epistemologías y metodologías,1,1,550.0,9786074028805,Patricia Ducoing,1,,México,Plaza y Valdés Editores,2018-08-02T21:03:31.779Z,,,,,,,,,14
14,135536711792989,3185,CAPITULO-DE-LIVRO-PUBLICADO,Maria Alice Gonçalves| Rogério Lobo Sáber|,"GONCALVES, M. A.| SÁBER, R. L.|",| 0135536711792989|,1| 2|,,,,,,,,,,,,,Capítulo de livro publicado,Sobre tradução literária: estudo da edição brasileira de Dracula de Bram Stoker elaborada por Lúcio Cardoso,2016,Brasil,Português,MEIO_DIGITAL,,NAO,,,NAO,Jovens estudantes no ambiente científico II: resultados das pesquisas BIC-Jr (2015) da Universidade do Vale do Sapucaí,1,70,85.0,9788567647180,Andrea Silva Domingues; Manoel Araújo Teixeira,1,1.0,Pouso Alegre,Editora da Univás,2018-08-02T21:07:51.820Z,,,,,,,,,15
15,136019251243788,16,CAPITULO-DE-LIVRO-PUBLICADO,Idanise Sant'Ana Azevedo Hamoy|,"HAMOY, Idanise S. A.|",0136019251243788|,1|,LINGUISTICA_LETRAS_E_ARTES,,História e Teoria das Artes,,LINGUISTICA_LETRAS_E_ARTES,Artes,"PRESERVAÇÃO, HISTÓRIA E RESTAURO",DOCUMENTAÇÃO DE RETÁBULOS,,,,,Capítulo de livro publicado,Retábulo da Igreja de Santo Alexandre em Belém do Pará: traços e transposições,2016,Portugal,Português,MEIO_DIGITAL,http://hdl.handle.net/10362/16423,NAO,,,NAO,"O Retábulo no Espaço Ibero-Americano: forma, função e iconografia",1,177,188.0,9789899919266,"Glória, Ana Celeste",1,1.0,Lisboa,Instituto de História da Arte,2018-08-02T21:03:31.780Z,,,,,,,,,16
16,146303305015092,3186,CAPITULO-DE-LIVRO-PUBLICADO,Oliveira RG| Ana Carolina Lima Ramos Cardoso| Baiocco GG|,"Oliveira RG| CARDOSO, A. C. L. R.| Baiocco GG|",| 0146303305015092| |,1| 2| 3|,CIENCIAS_DA_SAUDE,,Enfermagem Oncológica,Acessos Vasculares,,,,,,,,,Capítulo de livro publicado,Cateter Central de Inserção Periférica,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,Cateter Central de Inserção Periférica,,360,367.0,9788599130063,"Oliveira RG, Cardoso ACLR, Baiocco GG",1,,Belo Horizonte,BlackBook Editora,2018-08-02T21:07:51.821Z,,,,,,,,,17
17,149662466903271,3187,CAPITULO-DE-LIVRO-PUBLICADO,Erisvaldo Pereira dos Santos| Carmen Regina Teixeira Goncalves|,"SANTOS, E. P.| GONÇALVES, C. R. T.|",| 0149662466903271|,1| 2|,,,,,,,,,,,,,Capítulo de livro publicado,Metodologia científica: a construção do trabalho de conclusão de curso,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,Educação como prática da igualdade racial na escola,1,11,291.0,9788571606708,Clézio Roberto Gonçalves ; Kassandra da Silva Muniz,1,0.0,Belo Horizonte,Mazza,2018-08-02T21:07:51.822Z,,,,,,,,,18
18,153381151242770,17,CAPITULO-DE-LIVRO-PUBLICADO,Cássio Bruno de Araujo Rocha|,"ROCHA, C. B. A.|",0153381151242770|,1|,CIENCIAS_HUMANAS,,História do Brasil,História do Brasil Colônia,,,,,,,,,Capítulo de livro publicado,SODOMIA E GÊNERO NO TRIBUNAL DA INQUISIÇÃO: AMANTES HETERO E HOMOEROTICOS ENTRE A MASCULINIDADE E A  FEMINILIDADE NA AMÉRICA PORTUGUESA ? SÉCULOS XVI E XVII,2016,Brasil,Português,IMPRESSO,,SIM,,,NAO,"Sociedade, História e Relações de Gênero",8,35,53.0,9788581486215,Wlaumir Doniseti de Souza,1,,Jundiaí,Paco Editorial,2018-08-02T21:03:31.781Z,,,,,,,,,19
19,155620591576020,3188,CAPITULO-DE-LIVRO-PUBLICADO,Marcos Carvalho de Vasconcellos| Maria do Carmo Barros de Melo|,"VASCONCELLOS, M. C.;VASCONCELLOS, MARCOS CARVALHO DE| MELO, M. C. B.|",0155620591576020| |,1| 2|,CIENCIAS_DA_SAUDE,,Clínica Médica,Pediatria,,,,,,,,,Capítulo de livro publicado,Ressuscitação cardiopulmonar,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,Ressuscitação cardiopulmonar,1,155,170.0,9788578250744,"Marcos Carvalho de Vasconcellos, Maria do Carmo Barros de Melo, Frederico Mitre Pessoa",2,,Belo Horizonte,Coopmed,2018-08-02T21:07:51.822Z,,,,,,,,,20
20,158056065348126,18,CAPITULO-DE-LIVRO-PUBLICADO,Elisa Maria Amorim Vieira|,"VIEIRA, E. M. A.|",|,1|,,,,,,,,,,,,,Capítulo de livro publicado,Cotidiano de ausências: fotopinturas y refotografías del sertão,2016,Brasil,Português,IMPRESSO,,NAO,,Cotidiano de ausências: fotopinturas y refotografías del sertão,NAO,Em torno da imagem e da memória,1,77,111.0,9788556620033,"CORNELSEN, Elcio; VIEIRA, Elisa Amorim; LEIVA QUIJADA, Gonzalo",1,,Rio de Janeiro,Jaguatirica,2018-08-02T21:03:31.781Z,,,,,,,,,21
21,158056065348126,19,CAPITULO-DE-LIVRO-PUBLICADO,Elisa Maria Amorim Vieira|,"VIEIRA, E. M. A.|",|,1|,LINGUISTICA_LETRAS_E_ARTES,,Teoria Literária,,,,,,,,,,Capítulo de livro publicado,Retratos e memórias dos esquecidos,2016,Brasil,Português,NAO_INFORMADO,,NAO,,Retratos e memórias dos esquecidos,NAO,Memória social: pesquisas e temas emergentes,8,127,139.0,9858589177450,"BERND, Zilá; SANTOS, Nádia Maria Weber",1ª,,Canoas,UnilaSalle,2018-08-02T21:03:31.782Z,,,,,,,,,22
22,161298315336222,3189,CAPITULO-DE-LIVRO-PUBLICADO,"Thays Nascimento| Caroline Liboreiro Paiva| PEREIRA JÚNIOR, Juarez Neves|","NASCIMENTO, T.| PAIVA, CAROLINE LIBOREIRO| PEREIRA JÚNIOR, Juarez Neves|",| | |,1| 2| 3|,,,,,,,,,,,,,Capítulo de livro publicado,Gastronomia: da tradição à inovação,2016,Brasil,Português,MEIO_DIGITAL,http://www.cgca2016.com.br/IICGCA.pdf,NAO,,,NAO,Gastronomia: da tradição à inovação,1,1,1357.0,9788593068003,Paulo Henrique Machado de Sousa; Soraya de Oliveira Sancho; Luciane Maria Rodrigues Soares Farias; Tainá Facó Franklin de Lima Moises; Helina Dávila Braga Bernardo; Luana da Silva Paulo; Thayane Rodrigues Félix Santos,1,,Fortaleza,Monferrer,2018-08-02T21:07:51.823Z,,,,,,,,,23
